product_name,inventory_value
PANTOSEC DSR CAP 10'C ,344023.1
AZICIP 500MG 3'T (24),279480.96
PANTOSEC 40MG TAB 10'T ,199744.8
AZICIP 250 MG TAB 6'T ,196330.56
NICIP PLUS 10'T ,171985.0
NFLOX TZ TAB ,169899.52
CHESTON COLD TAB (WHITE) ,165225.40000000002
CIPCAL 500MG TAB 15'T ,143573.13999999998
AMOXYCLAV 625 MG 10'TAB ,127207.51000000001
REXCOF DX SYRUP 100ML ,107831.36
NICIP 100MG 10'T ,99413.45
FLUKA 150MG TAB 1'T ,95337.0
ZYMOX-500 CAP 10'C ,94750.89
OFLOTAS OZ TAB 10'T ,89233.68
RELIEF TAB 10'T' ,87481.32
REACTIN PLUS TAB 10'T ,83522.49
AMLIP 5 MG  TAB 10'T ,78728.31
FERICIP XT TAB 10'T ,77192.06
FENAK PLUS RANBAXY TAB 10'T ,76749.9
GRISOLAB 250 MG TAB 10'T ,74417.92
INTAGESIC MR TAB 10'T ,63429.91
LABOCLOX LB CAP 10'C ,62076.81
NO SCARS CREAM 20GM ,61385.189999999995
ALKEMOX 500CAP 15'T ,56658.0
OPTIMOX 500MG TAB ,56022.5
NODARD PLUS TAB 10'T ,55936.2
MELAMET CREAM 15GM ,55446.66
AMOXYCLAV 375MG TAB 10'T ,54443.69
TRICARE MR TAB 10'T ,54220.0
MYFAIR OINT 20GM ,53922.89
CIPMOX 500 MG CAP YELLOW 15'T (12),53429.24
MECOFOL PLUS CAP 10'C ,51983.78
CIFTOX AZ LB TAB(NEW PACK) ,51965.0
SKINSHINE CREAM 15GM ,49350.1
CLINSOL GEL 15GM ,49115.0
DA ZEAGRA TAB 4'T ,48903.310000000005
CTZ TAB  (60*20) ,47753.479999999996
ITRATEK 200MG CAP 10'C ,45840.0
CIPRODAC 500MG 10'T ,45689.5
NIMUCET  TAB10'T ,44305.67
CIPCAL D3 SACHET 1GM ,41837.43
SKINSHINE CREAM 30GM ,41313.0
DERMI 5 CREAM 15GM (38),41248.8
GLIMDA MV 1 10'T ,41185.79
RABESEC DSR CAP 10'C ,39588.64
CALCITAS D3  4'C ,38774.16
OPTINEURON FORTE TAB 30T ,38052.61
CEFIJET TAB 10'T ,37075.61
GLIMDA MV 2 TAB 10'T ,37059.01
CEFINTA O TAB 10'T ,36385.0
COBATE GM OINT 10GM ,36360.0
